* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 13, 2026 7:08:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bench Mic 4
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.846 -88.6811
0.732422 77.124 -103.6239
1.098633 79.358 -117.3831
1.464844 79.607 -134.2131
1.831055 77.706 -159.8591
2.197266 74.350 143.1180
2.563477 78.479 68.8965
2.929688 83.703 33.8663
3.295898 86.647 10.7622
3.662109 87.752 -8.8937
4.028320 87.027 -26.6937
4.394531 83.654 -41.2253
4.760742 73.107 -25.9761
5.126953 81.080 72.1032
5.493164 87.724 62.3017
5.859375 90.636 45.6164
6.225586 91.660 27.3450
6.591797 91.239 8.2257
6.958008 89.381 -11.9805
7.324219 85.676 -35.0378
7.690430 78.761 -71.6232
8.056641 74.931 -176.9863
8.422852 81.168 131.9688
8.789062 83.774 108.0477
9.155273 84.441 88.3084
9.521484 83.908 68.3788
9.887695 82.517 45.3802
10.253906 80.699 16.1605
10.620117 79.403 -20.1937
10.986328 79.409 -56.6776
11.352539 80.018 -86.1714
11.718750 80.303 -109.9660
12.084961 79.847 -132.6609
12.451172 78.382 -160.4907
12.817383 76.206 154.6206
13.183594 77.191 88.5936
13.549805 81.470 38.7418
13.916016 84.888 3.4008
14.282227 86.984 -28.1691
14.648438 87.981 -60.0092
15.014648 88.091 -93.9377
15.380859 87.516 -130.9258
15.747070 86.431 -171.1403
16.113281 84.846 145.9069
16.479492 82.396 99.3146
16.845703 78.584 39.8010
17.211914 77.487 -50.8317
17.578125 82.046 -118.6006
17.944336 85.327 -161.2524
18.310547 86.868 164.4688
18.676758 86.978 134.5226
19.042969 85.742 108.9894
19.409180 83.153 91.6547
19.775391 80.176 92.3948
20.141602 80.474 104.2715
20.507812 82.354 98.2065
20.874023 82.465 80.7888
21.240234 79.041 63.4817
21.606445 68.972 132.8193
21.972656 83.530 165.2065
22.338867 89.676 143.7679
22.705078 92.976 118.4460
23.071289 94.624 91.6427
23.437500 94.962 63.3511
23.803711 94.059 32.4486
24.169922 91.903 -4.2181
24.536133 89.035 -53.9773
24.902344 88.201 -117.3428
25.268555 89.791 -168.9702
25.634766 90.809 154.3218
26.000977 90.439 124.7837
26.367188 88.612 98.8865
26.733398 85.279 75.3655
27.099609 80.627 53.5247
27.465820 76.602 30.3669
27.832031 77.701 2.7043
28.198242 82.302 -21.7686
28.564453 86.377 -42.6245
28.930664 89.076 -61.5747
29.296875 90.490 -78.8093
29.663086 90.785 -93.8135
30.029297 90.117 -105.5684
30.395508 88.700 -112.5825
30.761719 86.948 -113.5608
31.127930 85.425 -109.4451
31.494141 84.343 -103.6707
31.860352 83.495 -97.7297
32.226562 83.015 -91.0947
32.592773 83.295 -86.8616
32.958984 84.025 -90.2827
33.325195 84.526 -102.5081
33.691406 84.499 -122.0488
34.057617 83.987 -147.1689
34.423828 83.127 -175.7593
34.790039 81.869 154.9104
35.156250 79.748 127.2949
35.522461 75.551 103.1870
35.888672 63.268 94.1033
36.254883 70.703 -133.9229
36.621094 77.406 -148.9001
36.987305 79.822 -164.9370
37.353516 80.101 -178.4443
37.719727 78.676 173.6851
38.085938 75.970 178.8931
38.452148 74.687 -156.1523
38.818359 76.687 -137.8594
39.184570 78.467 -134.6101
39.550781 79.082 -134.9392
39.916992 79.094 -132.4414
40.283203 79.497 -127.2075
40.649414 80.604 -125.8218
41.015625 81.670 -132.0847
41.381836 82.061 -144.6182
41.748047 81.529 -161.1621
42.114258 79.930 -179.6841
42.480469 77.005 162.9917
42.846680 72.299 157.3621
43.212891 69.883 -168.6118
43.579102 75.106 -155.5347
43.945312 79.155 -168.9119
44.311523 81.634 173.0654
44.677734 82.971 156.0129
45.043945 83.422 142.5293
45.410156 83.337 134.8052
45.776367 83.404 133.4597
46.142578 84.269 134.0967
46.508789 85.617 130.7812
46.875000 86.700 122.7991
47.241211 87.114 112.6467
47.607422 86.772 103.4983
47.973633 85.904 99.1748
48.339844 85.425 102.3921
48.706055 86.489 107.0891
49.072266 88.521 103.7107
49.438477 90.379 92.3450
49.804688 91.650 76.4792
50.170898 92.275 58.6335
50.537109 92.260 40.4990
50.903320 91.602 23.5493
51.269531 90.314 9.5779
51.635742 88.538 1.1692
52.001953 86.873 0.8186
52.368164 86.331 5.4446
52.734375 86.820 6.1836
53.100586 87.231 0.6277
53.466797 86.894 -8.1226
53.833008 85.553 -16.2168
54.199219 83.177 -18.3687
54.565430 80.732 -6.2888
54.931641 81.073 13.7358
55.297852 83.190 18.9119
55.664062 84.672 11.9109
56.030273 85.122 -0.6472
56.396484 84.585 -15.9465
56.762695 83.069 -32.8948
57.128906 80.439 -51.0215
57.495117 76.242 -69.7720
57.861328 68.757 -85.6575
58.227539 57.439 10.0129
58.593750 69.792 20.6550
58.959961 74.170 -3.0479
59.326172 76.631 -28.3665
59.692383 78.085 -51.8154
60.058594 78.632 -71.8298
60.424805 78.152 -86.8838
60.791016 76.517 -93.2847
61.157227 74.467 -81.8467
61.523438 75.580 -56.3848
61.889648 79.037 -47.2510
62.255859 81.720 -51.1555
62.622070 83.237 -59.8137
62.988281 83.658 -69.8623
63.354492 82.924 -79.4465
63.720703 80.686 -85.8315
64.086914 76.115 -78.1660
64.453125 74.230 -20.8240
64.819336 80.679 3.0278
65.185547 84.909 -1.3721
65.551758 87.373 -12.0017
65.917969 88.650 -24.4695
66.284180 88.974 -37.0349
66.650391 88.439 -48.1404
67.016602 87.137 -55.4050
67.382812 85.477 -55.0745
67.749023 84.737 -46.1252
68.115234 85.794 -39.0422
68.481445 87.420 -41.5605
68.847656 88.605 -50.9119
69.213867 89.132 -63.4434
69.580078 89.028 -76.8584
69.946289 88.370 -89.6025
70.312500 87.260 -100.4404
70.678711 85.841 -108.3889
71.044922 84.280 -112.8384
71.411133 82.734 -113.3887
71.777344 81.423 -109.2002
72.143555 80.935 -100.2542
72.509766 81.838 -92.0481
72.875977 83.543 -91.2998
73.242188 85.097 -98.0625
73.608398 86.054 -109.5183
73.974609 86.271 -123.2456
74.340820 85.680 -137.3198
74.707031 84.206 -149.6533
75.073242 81.813 -156.9170
75.439453 78.904 -153.2393
75.805664 77.317 -136.7214
76.171875 77.860 -123.3076
76.538086 78.439 -117.9902
76.904297 78.375 -111.8579
77.270508 78.719 -99.7029
77.636719 80.486 -89.0835
78.002930 82.651 -87.6365
78.369141 84.147 -92.7290
78.735352 84.682 -100.0637
79.101562 84.234 -106.0603
79.467773 82.974 -106.5583
79.833984 81.755 -96.9241
80.200195 82.264 -81.5581
80.566406 84.213 -74.1523
80.932617 86.065 -76.0374
81.298828 87.302 -83.0444
81.665039 87.907 -92.6516
82.031250 87.921 -103.6912
82.397461 87.341 -115.4854
82.763672 86.092 -127.1987
83.129883 84.020 -136.9824
83.496094 81.008 -139.8406
83.862305 78.224 -124.9360
84.228516 79.447 -103.0920
84.594727 82.411 -101.5378
84.960938 84.478 -111.6028
85.327148 85.455 -125.1479
85.693359 85.419 -138.1987
86.059570 84.429 -147.2903
86.425781 82.827 -147.5303
86.791992 82.045 -136.1948
87.158203 83.279 -125.5122
87.524414 84.941 -124.9717
87.890625 85.787 -130.2776
88.256836 85.566 -136.2043
88.623047 84.359 -138.1833
88.989258 82.748 -131.1531
89.355469 82.275 -115.3943
89.721680 83.434 -103.2246
90.087891 84.805 -99.4495
90.454102 85.710 -100.2375
90.820312 86.184 -102.9980
91.186523 86.350 -107.4810
91.552734 86.169 -114.4958
91.918945 85.436 -124.6763
92.285156 83.860 -138.1956
92.651367 81.056 -155.3462
93.017578 76.330 -178.2295
93.383789 68.103 137.5835
93.750000 66.550 29.6616
94.116211 71.171 -14.7493
94.482422 72.829 -40.4768
94.848633 73.822 -61.9170
95.214844 75.607 -81.3230
95.581055 78.392 -100.0317
95.947266 81.410 -118.7390
96.313477 83.962 -137.3237
96.679688 85.708 -155.3867
97.045898 86.508 -172.4055
97.412109 86.254 172.4849
97.778320 84.792 161.1790
98.144531 81.973 158.8552
98.510742 78.988 177.9707
98.876953 80.263 -153.2390
99.243164 83.128 -145.7771
99.609375 84.867 -148.8403
99.975586 85.537 -154.1970
100.341797 85.467 -158.7388
100.708008 84.963 -161.2285
101.074219 84.293 -161.4697
101.440430 83.663 -159.9275
101.806641 83.213 -157.3772
102.172852 83.029 -154.8806
102.539062 83.083 -153.6367
102.905273 83.229 -154.1313
103.271484 83.349 -155.5945
103.637695 83.520 -156.6836
104.003906 84.022 -157.1479
104.370117 85.034 -158.9197
104.736328 86.333 -164.2283
105.102539 87.498 -173.3040
105.468750 88.205 175.1462
105.834961 88.257 162.8760
106.201172 87.516 152.0063
106.567383 85.934 145.8516
106.933594 83.964 149.9509
107.299805 83.443 164.9224
107.666016 85.009 174.3159
108.032227 86.596 172.3979
108.398438 87.230 165.0698
108.764648 86.761 157.2490
109.130859 85.238 153.5232
109.497070 83.253 160.2141
109.863281 82.856 177.4695
110.229492 84.557 -172.3152
110.595703 86.235 -173.6858
110.961914 87.074 179.5342
111.328125 87.074 171.6379
111.694336 86.406 165.3362
112.060547 85.371 162.6362
112.426758 84.442 164.2393
112.792969 84.061 168.2456
113.159180 84.242 171.5864
113.525391 84.731 173.0823
113.891602 85.395 172.9436
114.257812 86.197 170.9922
114.624023 87.023 166.6531
114.990234 87.655 159.8569
115.356445 87.876 151.3372
115.722656 87.510 142.4312
116.088867 86.436 135.1274
116.455078 84.657 132.6704
116.821289 82.721 139.6917
117.187500 82.176 154.8298
117.553711 83.229 164.8184
117.919922 84.221 166.2058
118.286133 84.369 164.4968
118.652344 83.696 165.3672
119.018555 82.922 173.3850
119.384766 83.367 -174.3240
119.750977 84.936 -168.2991
120.117188 86.359 -170.5544
120.483398 87.041 -177.3281
120.849609 86.895 174.7397
121.215820 86.016 168.3835
121.582031 84.719 166.1060
121.948242 83.668 168.5374
122.314453 83.406 171.4167
122.680664 83.538 169.7488
123.046875 83.320 163.8291
123.413086 82.345 157.5054
123.779297 80.656 157.0830
124.145508 79.611 169.6421
124.511719 81.413 -175.8408
124.877930 84.394 -174.9116
125.244141 86.837 177.4844
125.610352 88.531 167.2231
125.976562 89.618 157.2498
126.342773 90.304 148.9702
126.708984 90.812 142.6558
127.075195 91.300 137.5090
127.441406 91.762 132.3037
127.807617 92.046 126.4211
128.173828 91.984 120.2717
128.540039 91.496 115.0510
128.906250 90.651 112.3110
129.272461 89.733 113.1201
129.638672 89.126 116.5056
130.004883 88.908 119.5334
130.371094 88.738 120.6836
130.737305 88.329 121.3662
131.103516 87.807 124.0767
131.469727 87.728 129.0464
131.835938 88.425 131.9668
132.202148 89.437 128.9287
132.568359 90.168 120.2810
132.934570 90.337 108.1262
133.300781 89.864 94.5757
133.666992 88.759 81.7830
134.033203 87.153 72.4397
134.399414 85.528 69.4553
134.765625 84.841 71.8574
135.131836 85.359 71.9946
135.498047 86.137 65.8298
135.864258 86.414 55.5837
136.230469 85.911 44.5249
136.596680 84.567 35.8293
136.962891 82.576 33.2776
137.329102 80.785 39.6436
137.695312 80.241 49.1265
138.061523 80.221 52.9104
138.427734 79.372 53.0474
138.793945 77.159 58.9519
139.160156 75.351 85.2644
139.526367 77.946 111.9497
139.892578 81.202 116.5969
140.258789 83.205 112.3430
140.625000 84.166 106.5791
140.991211 84.483 102.3840
141.357422 84.582 100.7212
141.723633 84.793 100.6074
142.089844 85.153 100.3225
142.456055 85.501 99.3945
142.822266 85.775 98.6780
143.188477 86.116 98.7917
143.554688 86.701 98.8228
143.920898 87.474 96.9812
144.287109 88.160 92.4902
144.653320 88.495 86.0210
145.019531 88.329 78.9424
145.385742 87.609 72.8528
145.751953 86.360 69.6082
146.118164 84.757 71.5757
146.484375 83.356 81.1406
146.850586 83.213 96.3257
147.216797 84.609 107.9119
147.583008 86.499 110.8250
