* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 13, 2026 7:07:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Aug 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 73.266 153.3640
0.732422 66.823 110.0590
1.098633 67.292 -8.2189
1.464844 74.223 -44.6732
1.831055 77.260 -57.7984
2.197266 79.246 -60.8965
2.563477 81.701 -62.0789
2.929688 84.420 -70.0110
3.295898 86.617 -85.7989
3.662109 88.014 -107.5990
4.028320 88.656 -134.2574
4.394531 88.729 -165.3344
4.760742 88.496 159.7429
5.126953 88.180 122.4735
5.493164 87.769 84.8683
5.859375 86.993 47.8234
6.225586 85.514 10.0565
6.591797 83.144 -32.6547
6.958008 80.634 -88.1283
7.324219 80.626 -152.0112
7.690430 82.419 157.5414
8.056641 83.544 118.5953
8.422852 83.485 82.9927
8.789062 82.375 44.6052
9.155273 80.993 -2.7740
9.521484 81.252 -57.2247
9.887695 83.239 -103.3296
10.253906 85.132 -138.4678
10.620117 86.226 -167.8761
10.986328 86.414 164.8685
11.352539 85.637 137.4679
11.718750 83.742 107.3910
12.084961 80.540 69.2079
12.451172 77.150 10.0367
12.817383 78.095 -58.0869
13.183594 80.450 -102.4165
13.549805 81.166 -133.4072
13.916016 79.755 -157.2891
14.282227 75.100 -168.7235
14.648438 70.353 -111.6940
15.014648 78.336 -90.8220
15.380859 82.159 -106.2852
15.747070 83.101 -126.8691
16.113281 81.198 -148.3896
16.479492 72.564 -166.2821
16.845703 76.298 -21.8280
17.211914 85.449 -41.6128
17.578125 89.513 -63.9697
17.944336 91.493 -86.6934
18.310547 92.024 -109.4996
18.676758 91.227 -132.3142
19.042969 88.897 -155.1166
19.409180 84.181 -177.8763
19.775391 72.039 160.1060
20.141602 75.862 -45.3746
20.507812 82.092 -68.7495
20.874023 83.538 -93.5258
21.240234 82.840 -120.3660
21.606445 80.765 -150.7665
21.972656 78.178 174.8588
22.338867 76.280 143.8639
22.705078 75.728 129.8167
23.071289 77.304 130.1204
23.437500 80.104 127.2023
23.803711 82.221 118.0725
24.169922 82.965 106.8690
24.536133 82.050 97.6045
24.902344 79.052 98.3959
25.268555 76.214 134.2961
25.634766 80.840 165.6537
26.000977 84.997 163.7285
26.367188 87.204 151.7697
26.733398 87.861 135.4816
27.099609 87.012 115.2756
27.465820 84.298 87.4795
27.832031 79.798 33.2664
28.198242 81.996 -48.3851
28.564453 86.872 -89.7336
28.930664 89.645 -116.4100
29.296875 90.860 -139.2842
29.663086 90.861 -161.0721
30.029297 89.765 177.0406
30.395508 87.553 153.8828
30.761719 84.135 127.1421
31.127930 79.680 91.1356
31.494141 76.225 40.2812
31.860352 75.877 -3.5361
32.226562 75.918 -25.3594
32.592773 75.521 -31.6262
32.958984 75.537 -30.3346
33.325195 76.109 -31.6743
33.691406 76.471 -40.6915
34.057617 76.205 -58.3096
34.423828 75.613 -85.9031
34.790039 75.783 -122.0542
35.156250 77.241 -156.8726
35.522461 78.909 176.1846
35.888672 79.885 155.8521
36.254883 79.858 140.4380
36.621094 78.720 130.2473
36.987305 76.531 128.3174
37.353516 74.164 140.1157
37.719727 73.712 160.5361
38.085938 74.621 173.0005
38.452148 75.055 178.9180
38.818359 74.835 -174.9509
39.184570 74.508 -166.4917
39.550781 74.293 -158.0383
39.916992 73.736 -149.7251
40.283203 72.835 -135.0911
40.649414 73.590 -111.8125
41.015625 76.628 -98.7632
41.381836 79.549 -100.4526
41.748047 81.544 -109.6597
42.114258 82.690 -121.9692
42.480469 83.199 -135.0581
42.846680 83.310 -147.5483
43.212891 83.271 -158.8301
43.579102 83.264 -169.1846
43.945312 83.300 -179.3945
44.311523 83.207 170.2439
44.677734 82.763 160.6265
45.043945 81.856 154.0137
45.410156 80.758 153.6853
45.776367 80.432 160.0620
46.142578 81.464 165.0518
46.508789 82.899 162.5864
46.875000 83.866 154.7993
47.241211 84.156 145.5312
47.607422 83.953 138.1543
47.973633 83.833 134.8120
48.339844 84.567 133.3633
48.706055 86.199 128.0305
49.072266 88.050 116.7026
49.438477 89.625 101.1443
49.804688 90.734 83.5508
50.170898 91.306 65.5483
50.537109 91.303 48.3628
50.903320 90.703 33.1672
51.269531 89.534 21.4395
51.635742 87.996 15.0977
52.001953 86.658 15.1448
52.368164 86.207 17.9329
52.734375 86.464 16.9893
53.100586 86.673 10.4062
53.466797 86.385 -0.3152
53.833008 85.475 -13.6226
54.199219 83.956 -28.6619
54.565430 81.907 -45.0854
54.931641 79.451 -62.5627
55.297852 76.728 -79.6824
55.664062 73.845 -91.7793
56.030273 71.451 -88.5200
56.396484 72.535 -70.8506
56.762695 76.414 -66.8472
57.128906 79.827 -75.7786
57.495117 82.156 -90.0083
57.861328 83.431 -106.5820
58.227539 83.684 -124.5210
58.593750 82.865 -143.6956
58.959961 80.792 -164.8367
59.326172 77.044 168.9028
59.692383 71.280 122.7922
60.058594 70.529 41.7688
60.424805 74.333 -1.1799
60.791016 76.129 -24.2544
61.157227 76.297 -42.0593
61.523438 75.103 -59.2502
61.889648 72.297 -80.4785
62.255859 67.279 -120.6462
62.622070 66.950 155.5198
62.988281 72.398 110.7974
63.354492 75.652 87.2878
63.720703 77.363 69.3325
64.086914 78.244 53.9487
64.453125 78.891 39.8525
64.819336 79.797 25.2668
65.185547 81.152 8.4370
65.551758 82.789 -10.8098
65.917969 84.379 -31.2202
66.284180 85.598 -51.3743
66.650391 86.185 -70.1665
67.016602 85.923 -86.4216
67.382812 84.606 -97.8640
67.749023 82.233 -98.6519
68.115234 80.594 -79.8264
68.481445 82.610 -60.3499
68.847656 85.275 -58.4622
69.213867 86.814 -64.6626
69.580078 87.207 -72.3123
69.946289 86.670 -77.6450
70.312500 85.637 -77.5933
70.678711 84.961 -71.6589
71.044922 85.250 -65.7529
71.411133 85.910 -65.7097
71.777344 86.131 -71.0547
72.143555 85.540 -79.0300
72.509766 83.984 -86.7610
72.875977 81.411 -90.2227
73.242188 78.372 -82.0876
73.608398 77.443 -61.7734
73.974609 79.115 -52.3196
74.340820 80.696 -57.2483
74.707031 81.452 -68.8191
75.073242 81.440 -82.5852
75.439453 80.759 -95.6921
75.805664 79.489 -105.1892
76.171875 77.902 -107.1204
76.538086 76.997 -98.7876
76.904297 77.916 -87.6843
77.270508 79.812 -83.6887
77.636719 81.482 -85.8582
78.002930 82.563 -90.5581
78.369141 83.048 -95.3691
78.735352 83.028 -98.6846
79.101562 82.659 -99.2246
79.467773 82.220 -96.1553
79.833984 82.092 -90.0029
80.200195 82.527 -83.2998
80.566406 83.402 -78.8843
80.932617 84.404 -77.8491
81.298828 85.294 -79.8979
81.665039 85.950 -84.3975
82.031250 86.307 -90.7773
82.397461 86.323 -98.5132
82.763672 85.960 -107.0105
83.129883 85.189 -115.4797
83.496094 84.005 -122.7852
83.862305 82.469 -127.2673
84.228516 80.839 -126.8582
84.594727 79.719 -120.7944
84.960938 79.690 -112.8428
85.327148 80.481 -108.3770
85.693359 81.398 -108.3438
86.059570 82.029 -110.8374
86.425781 82.234 -113.6011
86.791992 82.048 -114.3174
87.158203 81.784 -110.7988
87.524414 82.107 -103.4172
87.890625 83.366 -97.5168
88.256836 84.980 -97.5669
88.623047 86.267 -103.0806
88.989258 86.912 -111.8540
89.355469 86.813 -121.8850
89.721680 85.951 -131.3579
90.087891 84.381 -138.2080
90.454102 82.364 -139.9675
90.820312 80.559 -135.3723
91.186523 79.674 -127.8572
91.552734 79.631 -122.3745
91.918945 80.164 -119.7354
92.285156 81.403 -120.6790
92.651367 83.254 -127.6980
93.017578 85.264 -141.2681
93.383789 87.051 -159.5222
93.750000 88.400 179.6963
94.116211 89.169 157.9470
94.482422 89.217 136.2151
94.848633 88.361 115.1941
95.214844 86.285 95.7129
95.581055 82.247 79.9585
95.947266 73.782 82.9121
96.313477 73.582 174.7585
96.679688 80.035 178.9019
97.045898 82.165 171.0642
97.412109 82.368 166.7566
97.778320 82.008 171.0056
98.144531 82.681 -179.4666
98.510742 84.354 -175.9019
98.876953 85.733 179.6440
99.243164 86.203 171.0125
99.609375 85.589 161.7302
99.975586 83.762 155.7043
100.341797 80.844 161.0042
100.708008 79.508 -172.6953
101.074219 82.320 -154.2642
101.440430 85.212 -155.7314
101.806641 86.953 -165.4438
102.172852 87.635 -177.9856
102.539062 87.345 169.2495
102.905273 86.074 158.7639
103.271484 83.863 155.0049
103.637695 81.675 165.4136
104.003906 82.139 -176.2615
104.370117 84.291 -170.9751
104.736328 85.822 -175.9893
105.102539 86.308 176.1379
105.468750 85.891 170.2085
105.834961 85.046 170.0127
106.201172 84.762 175.7915
106.567383 85.561 -179.6343
106.933594 86.621 178.5449
107.299805 87.153 172.2090
107.666016 86.921 164.9678
108.032227 86.040 160.2190
108.398438 85.002 160.4951
108.764648 84.583 164.2639
109.130859 84.883 165.5044
109.497070 85.144 161.7258
109.863281 84.777 155.5034
110.229492 83.645 151.2739
110.595703 82.217 154.2522
110.961914 81.905 164.5688
111.328125 83.171 170.8171
111.694336 84.574 168.4026
112.060547 85.278 161.9160
112.426758 85.214 156.2688
112.792969 84.754 155.3850
113.159180 84.750 159.9617
113.525391 85.729 164.1218
113.891602 87.037 162.7529
114.257812 87.910 156.9727
114.624023 88.062 149.8884
114.990234 87.503 144.4800
115.356445 86.503 143.4312
115.722656 85.674 147.5903
116.088867 85.535 153.2573
116.455078 85.764 155.8591
116.821289 85.738 155.5535
117.187500 85.253 155.2585
117.553711 84.599 157.2896
117.919922 84.285 160.4575
118.286133 84.319 160.2600
118.652344 84.062 154.1394
119.018555 82.806 142.5989
119.384766 79.730 126.3252
119.750977 72.387 100.9243
120.117188 67.447 -54.2700
120.483398 77.680 -93.0615
120.849609 81.334 -115.8857
121.215820 82.826 -136.8750
121.582031 83.123 -156.4102
121.948242 82.702 -173.2578
122.314453 82.042 174.5166
122.680664 81.809 167.5640
123.046875 82.464 162.4648
123.413086 83.618 154.9253
123.779297 84.530 144.7268
124.145508 84.700 134.3728
124.511719 83.873 127.8657
124.877930 82.304 132.4973
125.244141 82.306 152.8137
125.610352 85.291 166.3633
125.976562 88.341 164.6760
126.342773 90.376 155.9360
126.708984 91.404 144.8149
127.075195 91.527 133.6243
127.441406 90.817 124.1265
127.807617 89.381 118.4702
128.173828 87.572 119.4956
128.540039 86.317 128.0073
128.906250 86.379 137.1035
129.272461 87.060 139.7219
129.638672 87.460 136.6050
130.004883 87.281 130.7615
130.371094 86.539 124.5974
130.737305 85.415 119.9377
131.103516 84.279 117.7461
131.469727 83.604 116.7446
131.835938 83.539 113.3472
132.202148 83.743 105.0781
132.568359 83.784 92.2659
132.934570 83.356 76.5981
133.300781 82.185 60.0710
133.666992 79.866 45.2966
134.033203 75.600 38.8113
134.399414 69.970 71.2974
134.765625 74.186 114.5637
135.131836 78.163 115.0085
135.498047 79.771 108.9570
135.864258 79.975 106.5923
136.230469 79.955 112.1077
136.596680 81.019 120.3176
136.962891 82.691 121.4023
137.329102 83.723 115.2002
137.695312 83.504 105.8086
138.061523 81.624 97.8792
138.427734 77.554 102.2183
138.793945 75.168 145.6743
139.160156 79.799 169.2319
139.526367 82.902 165.5244
139.892578 84.110 156.2231
140.258789 83.996 147.6145
140.625000 83.081 143.0232
140.991211 82.128 143.4597
141.357422 81.754 144.7764
141.723633 81.572 141.8757
142.089844 80.795 135.5754
142.456055 79.089 131.7097
142.822266 77.398 139.4319
143.188477 78.550 152.5540
143.554688 81.443 149.8096
143.920898 83.740 135.2119
144.287109 85.000 116.3704
144.653320 85.143 97.6074
145.019531 83.996 83.0391
145.385742 81.552 81.3821
145.751953 80.721 104.4404
146.118164 84.344 118.5244
146.484375 87.637 112.2214
146.850586 89.444 98.9954
147.216797 89.897 84.5759
147.583008 89.068 72.2725
147.949219 87.015 66.6638
